Date,Total Consumption [MWh],Average Consumption [MW],Storage Cycle [MWh]
2016-05-11,1425827.75,59409.49,94381.16
2016-05-12,1449668.75,60402.86,92547.03
2016-05-13,1405866.75,58577.78,85174.31
2016-05-14,1199446.0,49976.92,48729.0
2016-05-15,1059629.0,44151.21,48877.37
2016-05-16,1069299.5,44554.15,58563.21
2016-05-17,1364031.5,56834.65,110691.81
2016-05-18,1420164.75,59173.53,87679.53
2016-05-19,1431761.25,59656.72,89829.22
2016-05-20,1424053.0,59335.54,84270.21
2016-05-21,1199856.25,49994.01,47363.1
2016-05-22,1087074.25,45294.76,57631.35
2016-05-23,1386447.0,57768.63,113321.63
2016-05-24,1439450.75,59977.11,95729.4
2016-05-25,1414450.5,58935.44,89066.88
2016-05-26,1227709.5,51154.56,49140.06
2016-05-27,1305137.0,54380.71,86637.08
2016-05-28,1187950.25,49497.93,53389.02
2016-05-29,1093709.0,45571.21,60641.08
2016-05-30,1389742.25,57905.93,118836.84
2016-05-31,1433060.5,59710.85,95310.79
2016-06-01,1422613.25,59275.55,96483.52
2016-06-02,1413629.75,58901.24,94041.65
2016-06-03,1390178.5,57924.1,89257.9
2016-06-04,1181939.75,49247.49,52276.89
2016-06-05,1065294.0,44387.25,54006.5
2016-06-06,1355814.0,56492.25,114264.25
2016-06-07,1400508.5,58354.52,94347.96
2016-06-08,1400712.25,58363.01,95495.6
2016-06-09,1392502.75,58020.95,88222.73
2016-06-10,1370492.25,57103.84,85577.03
2016-06-11,1168919.5,48704.98,48916.52
2016-06-12,1069311.75,44554.66,57189.06
2016-06-13,1359837.5,56659.9,113408.81
2016-06-14,1399886.5,58328.6,93789.04
2016-06-15,1391693.5,57987.23,96428.04
2016-06-16,1401016.5,58375.69,93616.88
2016-06-17,1396966.5,58206.94,91014.31
2016-06-18,1189824.5,49576.02,52586.98
2016-06-19,1067295.25,44470.64,56589.1
2016-06-20,1352421.0,56350.88,112122.38
2016-06-21,1384929.0,57705.38,92458.63
2016-06-22,1389319.5,57888.31,98367.63
2016-06-23,1412403.0,58850.13,101310.0
2016-06-24,1412959.25,58873.3,93875.07
2016-06-25,1211646.25,50485.26,55840.86
2016-06-26,1072146.0,44672.75,51093.25
2016-06-27,1373993.0,57249.71,118936.62
2016-06-28,1409147.5,58714.48,91638.04
2016-06-29,1429077.0,59544.88,95694.75
2016-06-30,1418096.75,59087.36,93206.4
2016-07-01,1396879.0,58203.29,89465.46
2016-07-02,1203248.0,50135.33,52380.42
2016-07-03,1063131.0,44297.13,54099.75
2016-07-04,1356151.0,56506.29,112618.63
2016-07-05,1433357.25,59723.22,101054.94
2016-07-06,1429763.0,59573.46,94161.08
2016-07-07,1401776.0,58407.33,92310.17
2016-07-08,1406182.0,58590.92,92324.33
2016-07-09,1202436.5,50101.52,49104.96
2016-07-10,1086172.75,45257.2,53966.48
2016-07-11,1392854.75,58035.61,115649.9
2016-07-12,1420597.25,59191.55,91574.02
2016-07-13,1395087.0,58128.63,92751.0
2016-07-14,1407513.75,58646.41,95452.56
2016-07-15,1387537.75,57814.07,87656.55
2016-07-16,1179357.75,49139.91,50948.22
2016-07-17,1069724.0,44571.83,53326.83
2016-07-18,1354508.5,56437.85,108522.04
2016-07-19,1397081.25,58211.72,94547.19
2016-07-20,1420934.75,59205.61,94321.65
2016-07-21,1420489.5,59187.06,91631.88
2016-07-22,1390686.25,57945.26,88066.61
2016-07-23,1186452.25,49435.51,49366.11
2016-07-24,1066432.0,44434.67,51105.17
2016-07-25,1360962.5,56706.77,112120.19
2016-07-26,1394961.25,58123.39,95030.6
2016-07-27,1392453.5,58018.9,91516.96
2016-07-28,1379339.5,57472.48,88118.79
2016-07-29,1356978.0,56540.75,83844.25
2016-07-30,1162723.75,48446.82,49614.55
2016-07-31,1051772.0,43823.83,50024.58
2016-08-01,1305094.25,54378.93,103229.34
2016-08-02,1360220.5,56675.85,93689.04
2016-08-03,1380780.25,57532.51,96630.09
2016-08-04,1383038.5,57626.6,91277.04
2016-08-05,1338740.0,55780.83,83042.17
2016-08-06,1143931.25,47663.8,49056.82
2016-08-07,1030488.0,42937.0,51096.75
2016-08-08,1327843.0,55326.79,112518.88
2016-08-09,1349049.5,56210.4,89694.21
2016-08-10,1345958.0,56081.58,86835.33
2016-08-11,1339432.0,55809.67,88490.5
2016-08-12,1345804.75,56075.2,87005.73
2016-08-13,1166931.0,48622.13,51757.88
2016-08-14,1044295.25,43512.3,47926.52
2016-08-15,1269135.75,52880.66,100105.41
2016-08-16,1340611.75,55858.82,93038.41
2016-08-17,1342097.0,55920.71,86861.37
2016-08-18,1356473.0,56519.71,90096.12
2016-08-19,1344884.25,56036.84,84960.69
2016-08-20,1177508.75,49062.86,50982.15
2016-08-21,1053096.5,43879.02,53618.96
2016-08-22,1349590.25,56232.93,115787.59
